=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.02.13 14:15:14 =~=~=~=~=~=~=~=~=~=~=~=
self test ok
3://V1_621.MPG
3://V1_300.MPG
3://V1_1730.MPG
Decoding 3://V1_621.MPG to VDMA
Decoder start. Num frames #621
Width 1280
Height 720
Num i frames 230
Payload Size 113133240
I frame index 0, position 20
114 , 1, 7893
115 , 1, 7876
116 , 1, 7862
117 , 1, 7813
118 , 1, 7870
119 , 1, 7898
120 , 1, 7892
121 , 1, 7885
122 , 0, 7859
123 , 0, 7875
124 , 0, 8003
125 , 0, 7895
126 , 1, 7823
127 , 1, 7887
128 , 1, 7813
129 , 1, 7849
130 , 0, 7895
131 , 0, 7924
132 , 0, 7955
133 , 1, 7898
134 , 1, 7873
135 , 1, 7888
136 , 1, 7816
137 , 0, 7888
138 , 0, 7939
139 , 0, 7915
140 , 0, 7929
141 , 0, 8017
142 , 0, 7877
143 , 0, 7911
144 , 0, 7900
145 , 0, 7899
146 , 0, 7943
147 , 0, 7924
148 , 0, 7881
149 , 0, 7879
150 , 0, 7901
151 , 0, 7896
152 , 0, 7897
153 , 0, 7920
154 , 0, 7924
155 , 0, 7879
156 , 1, 7843
157 , 1, 7859
158 , 1, 7882
159 , 1, 7863
160 , 1, 7853
161 , 0, 7929
162 , 0, 7874
163 , 0, 7922
164 , 0, 7938
165 , 0, 7900
166 , 0, 7887
167 , 0, 7949
168 , 0, 7942
169 , 0, 7927
170 , 0, 8020
171 , 0, 7917
172 , 0, 7861
173 , 0, 7839
174 , 0, 7877
175 , 0, 7925
176 , 0, 7920
177 , 0, 7982
178 , 0, 7882
179 , 0, 7890
180 , 0, 7920
181 , 0, 7931
182 , 1, 7903
183 , 1, 7882
184 , 1, 7897
185 , 0, 7888
186 , 0, 7915
187 , 0, 7903
188 , 0, 7872
189 , 0, 7878
190 , 0, 7948
191 , 0, 7848
192 , 0, 7843
193 , 0, 7966
194 , 0, 7879
195 , 0, 7874
196 , 1, 7843
197 , 1, 7920
198 , 1, 7864
199 , 1, 7823
200 , 1, 7868
201 , 1, 7879
202 , 1, 7852
203 , 1, 7877
204 , 1, 7862
205 , 1, 7823
206 , 1, 7907
207 , 1, 7827
208 , 1, 7833
209 , 1, 7893
210 , 0, 7914
211 , 0, 7933
212 , 0, 7894
213 , 0, 7897
214 , 0, 7919
215 , 0, 7881
216 , 0, 7963
217 , 0, 7894
218 , 0, 7997
219 , 0, 7907
220 , 0, 7908
221 , 1, 7888
222 , 1, 7873
223 , 1, 7889
224 , 1, 7873
225 , 1, 7850
226 , 0, 7934
227 , 1, 7879
228 , 1, 7873
229 , 0, 7939
230 , 1, 7867
231 , 0, 8008
232 , 1, 7871
233 , 1, 7898
234 , 1, 7825
235 , 1, 7823
236 , 1, 7816
237 , 1, 7918
238 , 1, 7906
239 , 1, 7883
240 , 1, 7842
241 , 1, 7867
242 , 1, 7882
243 , 1, 7866
244 , 1, 7878
245 , 1, 7884
246 , 1, 7872
247 , 1, 7873
248 , 1, 7827
249 , 1, 7834
250 , 1, 7868
251 , 1, 7883
252 , 1, 7843
253 , 1, 7818
254 , 1, 7877
255 , 0, 7860
256 , 1, 7866
257 , 1, 7882
258 , 1, 7906
259 , 1, 7920
260 , 1, 7912
261 , 1, 7872
262 , 1, 7841
263 , 1, 7843
264 , 1, 7858
265 , 1, 7834
266 , 1, 7892
267 , 1, 7878
268 , 1, 7818
269 , 1, 7941
270 , 1, 7868
271 , 1, 7832
272 , 1, 7813
273 , 1, 7883
274 , 1, 7807
275 , 1, 7867
276 , 1, 7861
277 , 1, 7921
278 , 0, 7949
279 , 1, 7877
280 , 1, 7878
281 , 1, 7888
282 , 1, 7878
283 , 1, 7858
284 , 1, 7858
285 , 1, 7884
286 , 0, 7919
287 , 0, 7929
288 , 0, 7888
289 , 0, 7940
290 , 0, 7910
291 , 0, 7909
292 , 0, 7905
293 , 0, 7927
294 , 0, 7844
295 , 0, 7969
296 , 1, 7827
297 , 1, 7828
298 , 1, 7926
299 , 1, 7842
300 , 1, 7917
301 , 1, 7947
302 , 1, 7915
303 , 1, 7872
304 , 1, 7902
305 , 1, 7882
306 , 1, 7848
307 , 1, 7862
308 , 1, 7873
309 , 1, 7898
310 , 0, 8049
311 , 0, 7914
312 , 0, 7968
313 , 0, 7905
314 , 0, 7929
315 , 1, 7943
316 , 1, 7878
317 , 1, 7867
318 , 0, 7897
319 , 0, 7876
320 , 0, 7938
321 , 0, 7918
322 , 0, 7953
323 , 0, 7924
324 , 0, 7909
325 , 0, 7861
326 , 0, 7930
327 , 0, 7919
328 , 0, 7906
329 , 0, 7858
330 , 1, 7872
331 , 0, 7929
332 , 1, 7928
333 , 1, 7828
334 , 0, 7869
335 , 0, 7933
336 , 1, 7908
337 , 1, 7858
338 , 1, 7819
339 , 0, 7938
340 , 0, 7900
341 , 0, 7928
342 , 0, 7894
343 , 0, 7944
344 , 1, 7868
345 , 1, 7872
346 , 1, 7867
347 , 1, 7861
348 , 1, 7838
349 , 0, 7949
350 , 0, 7913
351 , 0, 7858
352 , 0, 7935
353 , 0, 8014
354 , 0, 7864
355 , 0, 7965
356 , 0, 7895
357 , 0, 7899
358 , 1, 7829
359 , 0, 7870
360 , 0, 7939
361 , 0, 7929
362 , 0, 7935
363 , 0, 8498
364 , 0, 7908
365 , 0, 7939
366 , 1, 7888
367 , 0, 7855
368 , 1, 7852
369 , 1, 7878
370 , 1, 7889
371 , 1, 7847
372 , 0, 7900
373 , 0, 8576
374 , 0, 7888
375 , 0, 8010
376 , 0, 7904
377 , 0, 7925
378 , 1, 7857
379 , 1, 7817
380 , 1, 7837
381 , 1, 7847
382 , 1, 7884
383 , 1, 7863
384 , 1, 7839
385 , 1, 7822
386 , 1, 7842
387 , 1, 7897
388 , 1, 7853
389 , 1, 7812
390 , 1, 7819
391 , 1, 7926
392 , 1, 7814
393 , 1, 7816
394 , 1, 7822
395 , 0, 7859
396 , 0, 7848
397 , 0, 7898
398 , 0, 7926
399 , 1, 7888
400 , 1, 7862
401 , 1, 7888
402 , 0, 7859
403 , 1, 7872
404 , 0, 8038
405 , 0, 7932
406 , 0, 7993
407 , 0, 7915
408 , 0, 7944
409 , 0, 7909
410 , 0, 7869
411 , 0, 7920
412 , 1, 7882
413 , 1, 7883
414 , 1, 7851
415 , 1, 7922
416 , 1, 7863
417 , 0, 7872
418 , 0, 7894
419 , 0, 7933
420 , 0, 7939
421 , 1, 7818
422 , 1, 7851
423 , 1, 7843
424 , 1, 7873
425 , 1, 7872
426 , 1, 7914
427 , 1, 7834
428 , 1, 7816
429 , 1, 7908
430 , 0, 7865
431 , 0, 7893
432 , 0, 7816
433 , 0, 7888
434 , 0, 7902
435 , 0, 7875
436 , 1, 7902
437 , 1, 7848
438 , 1, 7862
439 , 1, 7861
440 , 1, 7853
441 , 1, 7862
442 , 1, 7868
443 , 1, 7889
444 , 1, 7863
445 , 0, 7920
446 , 0, 7925
447 , 0, 7954
448 , 0, 7937
449 , 1, 7868
450 , 1, 7882
451 , 1, 7884
452 , 0, 7897
453 , 0, 7915
454 , 0, 7963
455 , 0, 7893
456 , 0, 7913
457 , 0, 7974
458 , 1, 7868
459 , 1, 7894
460 , 1, 7889
461 , 1, 7878
462 , 0, 7917
463 , 0, 7928
464 , 0, 7930
465 , 0, 7991
466 , 1, 7877
467 , 1, 7931
468 , 1, 7857
469 , 1, 7878
470 , 1, 7826
471 , 1, 7849
472 , 1, 7849
473 , 1, 7888
474 , 1, 7862
475 , 1, 7857
476 , 1, 7873
477 , 1, 7831
478 , 1, 7807
479 , 1, 7857
480 , 1, 7936
481 , 1, 7877
482 , 1, 7898
483 , 1, 7823
484 , 1, 7848
485 , 1, 7848
486 , 1, 7843
487 , 1, 7847
488 , 1, 7847
489 , 0, 7893
490 , 1, 8240
491 , 1, 7883
492 , 1, 7872
493 , 1, 7872
494 , 1, 7877
495 , 1, 7857
496 , 1, 7823
497 , 1, 7913
498 , 1, 7883
499 , 1, 7893
500 , 1, 7859
501 , 1, 7847
502 , 1, 7851
503 , 1, 7868
504 , 1, 7899
505 , 1, 7888
506 , 1, 7878
507 , 1, 7833
508 , 1, 7818
509 , 1, 7822
510 , 1, 7831
511 , 1, 7802
512 , 1, 7818
513 , 0, 7858
514 , 1, 7822
515 , 1, 7813
516 , 1, 7859
517 , 1, 7893
518 , 1, 7863
519 , 1, 7843
520 , 1, 7857
521 , 1, 7862
522 , 1, 7904
523 , 1, 7920
524 , 1, 7904
525 , 1, 7873
526 , 1, 7847
527 , 1, 7883
528 , 1, 7898
529 , 1, 7868
530 , 1, 7842
531 , 1, 7892
532 , 0, 7895
533 , 0, 7915
534 , 0, 7889
535 , 0, 7874
536 , 0, 7919
537 , 0, 7939
538 , 0, 7894
539 , 1, 7873
540 , 1, 7877
541 , 1, 7878
542 , 1, 7893
543 , 1, 7906
544 , 1, 7911
545 , 1, 7844
546 , 1, 7830
547 , 1, 7816
548 , 1, 7854
549 , 1, 7892
550 , 1, 7923
551 , 1, 7878
552 , 1, 7823
553 , 1, 7818
554 , 1, 7846
555 , 1, 7907
556 , 1, 7873
557 , 1, 7838
558 , 0, 7909
559 , 1, 7897
560 , 1, 7882
561 , 1, 7888
562 , 1, 7880
563 , 1, 7868
564 , 1, 7826
565 , 1, 7892
566 , 1, 7847
567 , 1, 7844
568 , 0, 7925
569 , 0, 7971
570 , 0, 7924
571 , 1, 7858
572 , 1, 7819
573 , 1, 7843
574 , 1, 7867
575 , 0, 7889
576 , 0, 8020
577 , 0, 7954
578 , 1, 7853
579 , 0, 7910
580 , 1, 7889
581 , 1, 7888
582 , 1, 7852
583 , 1, 7823
584 , 1, 7873
585 , 1, 7876
586 , 0, 7914
587 , 0, 7874
588 , 0, 7903
589 , 1, 7899
590 , 1, 7869
591 , 1, 7892
592 , 1, 7918
593 , 1, 7847
594 , 1, 7883
595 , 1, 7903
596 , 1, 7878
597 , 1, 7823
598 , 1, 7885
599 , 1, 7868
600 , 1, 7862
601 , 1, 7881
602 , 1, 7892
603 , 1, 7823
604 , 1, 7818
605 , 1, 7865
606 , 1, 7844
607 , 0, 7903
608 , 0, 7915
609 , 0, 7909
610 , 0, 7924
611 , 0, 7920
612 , 0, 7932
613 , 1, 7889
614 , 0, 7873
615 , 0, 7900
616 , 0, 7948
617 , 0, 7935
618 , 0, 7915
619 , 1, 7812
620 , 1, 7818
